,Indicator,Country,Date,value
249,"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-01-26,0.0
250,"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-01-26,0.0
251,"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2015-01-26,1.0
252,"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-01-23,3636.0
253,"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2015-01-23,0.0
254,"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-01-23,1880.0
255,"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2015-01-23,3159.0
256,"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-01-23,6.0
257,"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-01-23,8.0
258,"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-01-23,0.0
259,"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-01-23,0.0
260,"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2015-01-23,1.0
261,"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-01-22,3636.0
262,"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2015-01-22,0.0
263,"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-01-22,1879.0
264,"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2015-01-22,3153.0
265,"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-01-22,6.0
266,"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-01-22,8.0
267,"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-01-22,0.0
268,"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-01-22,0.0
269,"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2015-01-22,1.0
270,"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2015-01-21,3145.0
271,"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2015-01-21,0.0
272,"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-01-21,3605.0
273,"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-01-21,1876.0
274,"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-01-21,6.0
275,"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-01-21,8.0
276,"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-01-21,0.0
277,"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-01-21,0.0
278,"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2015-01-21,1.0
279,"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-01-20,1876.0
280,"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2015-01-20,3145.0
281,"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-01-20,3605.0
