,Indicator,Country,Date,value
188,"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2015-02-04,4.0
189,"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-02-03,2975.0
190,"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-02-03,8729.0
191,"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2015-02-03,10740.0
192,"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2015-02-03,1.0
193,"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-02-03,8.0
194,"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-02-03,20.0
195,"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-02-03,1.0
196,"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-02-03,1.0
197,"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2015-02-03,4.0
198,"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-02-02,2959.0
199,"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-02-02,8668.0
200,"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2015-02-02,10707.0
201,"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2015-02-02,1.0
202,"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-02-02,8.0
203,"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-02-02,20.0
204,"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-02-02,1.0
205,"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-02-02,1.0
206,"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2015-02-02,4.0
207,"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-01-30,2920.0
208,"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-01-30,8643.0
209,"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2015-01-30,10561.0
210,"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2015-01-30,1.0
211,"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-01-30,8.0
212,"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-01-30,20.0
213,"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-01-30,1.0
214,"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-01-30,1.0
215,"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2015-01-30,4.0
216,"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-01-29,2921.0
217,"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-01-29,8643.0
218,"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2015-01-29,10537.0
219,"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2015-01-29,1.0
220,"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-01-29,8.0
221,"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-01-29,20.0
222,"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-01-29,1.0
223,"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-01-29,1.0
224,"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2015-01-29,4.0
225,"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-01-28,8622.0
226,"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2015-01-28,10518.0
227,"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-01-28,2917.0
228,"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2015-01-28,1.0
229,"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-01-28,8.0
230,"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-01-28,20.0
231,"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-01-28,1.0
232,"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-01-28,1.0
233,"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2015-01-28,4.0
234,"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-01-27,2917.0
235,"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2015-01-27,10518.0
236,"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-01-27,8622.0
237,"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2015-01-27,1.0
238,"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-01-27,8.0
239,"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-01-27,20.0
240,"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-01-27,1.0
241,"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-01-27,1.0
242,"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2015-01-27,4.0
243,"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-01-26,8524.0
244,"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2015-01-26,10491.0
245,"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-01-26,2909.0
246,"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2015-01-26,1.0
247,"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-01-26,8.0
248,"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-01-26,20.0
249,"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-01-26,1.0
250,"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-01-26,1.0
251,"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2015-01-26,4.0
252,"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-01-23,8524.0
253,"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-01-23,2873.0
254,"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2015-01-23,10400.0
255,"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2015-01-23,1.0
256,"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-01-23,8.0
257,"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-01-23,20.0
258,"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-01-23,1.0
259,"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-01-23,1.0
260,"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2015-01-23,4.0
261,"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-01-22,2873.0
262,"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2015-01-22,10362.0
263,"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-01-22,8524.0
264,"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2015-01-22,1.0
265,"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-01-22,8.0
266,"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-01-22,20.0
267,"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-01-22,1.0
268,"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-01-22,1.0
269,"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2015-01-22,4.0
270,"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-01-21,8478.0
271,"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-01-21,2871.0
272,"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2015-01-21,10340.0
273,"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2015-01-21,1.0
274,"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-01-21,8.0
275,"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-01-21,20.0
276,"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-01-21,1.0
277,"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-01-21,1.0
278,"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2015-01-21,4.0
279,"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-01-20,2871.0
280,"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2015-01-20,10340.0
281,"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-01-20,8478.0
282,"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2015-01-20,1.0
283,"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-01-20,8.0
284,"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-01-20,20.0
285,"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-01-20,1.0
286,"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-01-20,1.0
287,"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2015-01-20,4.0
288,"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2015-01-19,10306.0
289,"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-01-19,8435.0
290,"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-01-19,2873.0
291,"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2015-01-19,1.0
292,"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-01-19,8.0
293,"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-01-19,20.0
294,"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-01-19,1.0
295,"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-01-19,1.0
296,"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2015-01-19,4.0
297,"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-01-16,2825.0
298,"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-01-16,8362.0
299,"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2015-01-16,10186.0
300,"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-01-16,8.0
301,"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2015-01-16,1.0
302,"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-01-16,20.0
303,"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-01-16,1.0
304,"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-01-16,1.0
305,"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2015-01-16,4.0
306,"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-01-15,2817.0
307,"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-01-15,8362.0
308,"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2015-01-15,10150.0
309,"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-01-15,8.0
310,"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2015-01-15,1.0
