,Indicator,Country,Date,value
152,"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-03-05,6.0
153,"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-03-05,8.0
154,Cumulative number of confirmed Ebola cases,Nigeria,2015-03-05,19.0
155,Cumulative number of probable Ebola cases,Nigeria,2015-03-05,1.0
156,Cumulative number of suspected Ebola cases,Nigeria,2015-03-05,0.0
157,"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-03-05,20.0
158,Cumulative number of confirmed Ebola cases,Senegal,2015-03-05,1.0
159,Cumulative number of probable Ebola cases,Senegal,2015-03-05,0.0
160,Cumulative number of suspected Ebola cases,Senegal,2015-03-05,0.0
161,"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-03-05,1.0
162,Cumulative number of confirmed Ebola cases,Spain,2015-03-05,1.0
163,Cumulative number of probable Ebola cases,Spain,2015-03-05,0.0
164,Cumulative number of suspected Ebola cases,Spain,2015-03-05,0.0
165,"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-03-05,1.0
166,Cumulative number of confirmed Ebola cases,United States of America,2015-03-05,4.0
167,Cumulative number of probable Ebola cases,United States of America,2015-03-05,0.0
168,Cumulative number of suspected Ebola cases,United States of America,2015-03-05,0.0
169,"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2015-03-05,4.0
170,Cumulative number of confirmed Ebola deaths,Nigeria,2015-03-05,7.0
171,Cumulative number of probable Ebola deaths,Nigeria,2015-03-05,1.0
172,Cumulative number of suspected Ebola deaths,Nigeria,2015-03-05,0.0
173,"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-03-05,8.0
174,Cumulative number of confirmed Ebola deaths,Senegal,2015-03-05,0.0
175,Cumulative number of probable Ebola deaths,Senegal,2015-03-05,0.0
176,Cumulative number of suspected Ebola deaths,Senegal,2015-03-05,0.0
177,"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-03-05,0.0
178,Cumulative number of confirmed Ebola deaths,Spain,2015-03-05,0.0
179,Cumulative number of probable Ebola deaths,Spain,2015-03-05,0.0
180,Cumulative number of suspected Ebola deaths,Spain,2015-03-05,0.0
181,"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-03-05,0.0
182,Cumulative number of confirmed Ebola deaths,United States of America,2015-03-05,1.0
183,Cumulative number of probable Ebola deaths,United States of America,2015-03-05,0.0
184,Cumulative number of suspected Ebola deaths,United States of America,2015-03-05,0.0
185,"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2015-03-05,1.0
186,"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2015-03-04,0.0
187,Cumulative number of probable Ebola cases,United Kingdom,2015-03-04,0.0
188,Cumulative number of suspected Ebola cases,United Kingdom,2015-03-04,0.0
189,Cumulative number of confirmed Ebola cases,United Kingdom,2015-03-04,1.0
190,"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2015-03-04,1.0
191,Cumulative number of confirmed Ebola cases,Mali,2015-03-04,7.0
192,Cumulative number of probable Ebola cases,Mali,2015-03-04,1.0
193,Cumulative number of suspected Ebola cases,Mali,2015-03-04,0.0
194,"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-03-04,6.0
195,"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-03-04,8.0
196,Cumulative number of confirmed Ebola cases,Nigeria,2015-03-04,19.0
197,Cumulative number of probable Ebola cases,Nigeria,2015-03-04,1.0
198,Cumulative number of suspected Ebola cases,Nigeria,2015-03-04,0.0
199,"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-03-04,20.0
200,Cumulative number of confirmed Ebola cases,Senegal,2015-03-04,1.0
201,Cumulative number of probable Ebola cases,Senegal,2015-03-04,0.0
202,Cumulative number of suspected Ebola cases,Senegal,2015-03-04,0.0
203,"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-03-04,1.0
204,Cumulative number of confirmed Ebola cases,Spain,2015-03-04,1.0
205,Cumulative number of probable Ebola cases,Spain,2015-03-04,0.0
206,Cumulative number of suspected Ebola cases,Spain,2015-03-04,0.0
207,"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-03-04,1.0
208,Cumulative number of confirmed Ebola cases,United States of America,2015-03-04,4.0
209,Cumulative number of probable Ebola cases,United States of America,2015-03-04,0.0
210,Cumulative number of suspected Ebola cases,United States of America,2015-03-04,0.0
211,"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2015-03-04,4.0
212,Cumulative number of confirmed Ebola deaths,Nigeria,2015-03-04,7.0
213,Cumulative number of probable Ebola deaths,Nigeria,2015-03-04,1.0
214,Cumulative number of suspected Ebola deaths,Nigeria,2015-03-04,0.0
215,"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-03-04,8.0
216,Cumulative number of confirmed Ebola deaths,Senegal,2015-03-04,0.0
217,Cumulative number of probable Ebola deaths,Senegal,2015-03-04,0.0
218,Cumulative number of suspected Ebola deaths,Senegal,2015-03-04,0.0
219,"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-03-04,0.0
220,Cumulative number of confirmed Ebola deaths,Spain,2015-03-04,0.0
221,Cumulative number of probable Ebola deaths,Spain,2015-03-04,0.0
222,Cumulative number of suspected Ebola deaths,Spain,2015-03-04,0.0
223,"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-03-04,0.0
224,Cumulative number of confirmed Ebola deaths,United States of America,2015-03-04,1.0
225,Cumulative number of probable Ebola deaths,United States of America,2015-03-04,0.0
226,Cumulative number of suspected Ebola deaths,United States of America,2015-03-04,0.0
227,"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2015-03-04,1.0
